Biračko mjesto:,municipality_ID,party,values
001A007A,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,40
001A007A,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A007A,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,149
001A007A,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A007A,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A007A,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A007A,001,SDA - STRANKA DEMOKRATSKE AKCIJE,42
001A007A,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A007A,001,NARODNA STRANKA RADOM ZA BOLJITAK,32
001A007A,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A007A,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A007A,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A007A,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A007A,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,3
001A007A,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A007A,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,15
001A007A,001,PARTIJA PRAVOG PUTA,0
001A007A,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,1
001A007A,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A007A,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A007B,001,BPS - SEFER HALILOVIĆ,0
001A007B,001,STRANKA ZA BOSNU I HERCEGOVINU,3
001A007B,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,15
001A007B,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A007B,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,86
001A007B,001,DEMOKRATSKA STRANKA INVALIDA BIH,2
001A007B,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A007B,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A007B,001,SDA - STRANKA DEMOKRATSKE AKCIJE,37
001A007B,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A007B,001,NARODNA STRANKA RADOM ZA BOLJITAK,28
001A007B,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,3
