Biračko mjesto:,municipality_ID,party,votes
007B002,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,14.0
007B002,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,24.0
007B002,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,108.0
007B002,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1.0
007B002,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,1.0
007B002,007,SDA - STRANKA DEMOKRATSKE AKCIJE,26.0
007B002,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,62.0
007B002,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,49.0
007B002,007,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B002,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,227.0
007B002,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,6.0
007B002,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,4.0
007B002,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
007B002,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,7.0
007B002,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,3.0
007B002,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,9.0
007B002,007,СРПСКА НАПРЕДНА СТРАНКА,12.0
007B002,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,10.0
007B002,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,3.0
007B002,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B002,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B003,007,STRANKA ZA BOSNU I HERCEGOVINU,31.0
007B003,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,21.0
007B003,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,30.0
007B003,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,86.0
007B003,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1.0
007B003,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
007B003,007,SDA - STRANKA DEMOKRATSKE AKCIJE,73.0
007B003,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,39.0
007B003,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,44.0
007B003,007,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B003,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,161.0
007B003,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,1.0
007B003,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,7.0
007B003,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,1.0
007B003,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B003,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,3.0
007B003,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,18.0
007B003,007,СРПСКА НАПРЕДНА СТРАНКА,2.0
007B003,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,7.0
007B003,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,2.0
007B003,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B003,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B004,007,STRANKA ZA BOSNU I HERCEGOVINU,16.0
007B004,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,11.0
007B004,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,6.0
007B004,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,34.0
007B004,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1.0
007B004,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
